rn,Date,name,category,hazards,tier,band
08-071,2007-11-06,Dizzy Ducks Music Box,,lead,4,ACT SOON
08-070,2007-11-06,Winnie-the-Pooh Spinning Top,,lead,4,ACT SOON
08-069,2007-11-06,Duck Family Collectable Wind-Up Toy,Toys,lead,3,ACT NOW
08-068,2007-11-06,Pull-Back Action Toy Cars,Toys,lead,3,ACT NOW
08-067,2007-11-06,Dragster and Funny Car toy,Toys,lead,3,ACT NOW
08-066,2007-11-06,"""Big Red"" Wagons",Helmets & wheeled toys,lead,4,ACT SOON
08-065,2007-11-05,"""Skippy"" Pool Toys",Outdoor & play equipment,,4,ACT SOON
08-063,2007-11-05,Laugh & LearnTM Learning KitchenTM Toys,Toys,choking,3,ACT NOW
08-058,2007-10-31,Decorative Packaging Pearl-like Bead Attachments sold with Girl's Gift Sets,Household chemicals,lead,3,ACT NOW
08-060,2007-10-30,"""Galaxy Warriors"" Toy Figures",Toys,lead,3,ACT NOW
08-059,2007-10-30,"""Ugly Teeth"" Party Favors",,lead,4,ACT SOON
08-057,2007-10-30,Elite Operations Toys,Toys,lead,3,ACT NOW
08-056,2007-10-30,Ribbit Board Games,Toys,lead,3,ACT NOW
08-051,2007-10-24,Purple Halloween Pails with Witch Decorations,Bath & water safety,lead,4,ACT SOON
08-050,2007-10-24,Football Bobble Head Cake Decorations,,lead,4,ACT SOON
08-049,2007-10-24,Children's Toy Gardening Tools,Toys,lead,3,ACT NOW
08-048,2007-10-24,Go Diego Go Animal Rescue Boats,Toys,lead,3,ACT NOW
08-046,2007-10-24,"Bumbo ""Baby Sitter"" Seats",Household chemicals,fall,3,ACT NOW
08-045,2007-10-24,"Beary Cute, Expressions, and Sassy & Chic Children's Metal Jewelry",Toys,chemical|lead,3,ACT NOW
08-044,2007-10-24,WeGlow Children's Metal Jewelry,Jewelry & accessories,chemical|lead,3,ACT NOW
08-039,2007-10-22,"Magnetic Game Pieces sold with ""Cars"" Themed Backpacks",Toys,choking|fall|magnet,2,ACT NOW
08-037,2007-10-17,Toy Pirate Swords,Toys,laceration,3,ACT NOW
08-036,2007-10-17,"Inflator Air Pumps (sold separately and included with ""Launch Pod"" Water Trampolines)",Outdoor & play equipment,laceration|overheat,3,ACT NOW
08-034,2007-10-17,"Girls' ""Hannah Montana"" Boots",Sleepwear & apparel,fall,3,ACT NOW
08-031,2007-10-17,Tabletop Puppet Theaters,Toys,lead,3,ACT NOW
08-033,2007-10-16,Skull Pails Filled With Halloween Candy Mix,Feeding & high chairs,lead,3,ACT NOW
08-032,2007-10-16,Cool ClipTM and Mini Cool ClipTM Bookmarks,,lead,4,ACT SOON
08-030,2007-10-16,Pink and Orange Glow Sticks (free giveaway with donuts),Sleepwear & apparel,choking|strangulation,1,ACT NOW
08-028,2007-10-15,"2007 Huffy ""Howler"" and ""Highland"" Bicycles",Helmets & wheeled toys,fall,3,ACT NOW
08-027,2007-10-15,Oro Disc Brakes used on bicycles,Feeding & high chairs,,4,ACT SOON
08-501,2007-10-10,Kidnastics Balance Beams,,lead,4,ACT SOON
08-024,2007-10-10,Breyer 2006 Stirrup Ornaments,,lead,4,ACT SOON
08-023,2007-10-10,Deluxe Wood Art Sets,,lead,4,ACT SOON
08-022,2007-10-10,DisneyTM Deluxe Winnie-the-Pooh 23-Piece Play Sets,Outdoor & play equipment,lead,4,ACT SOON
08-021,2007-10-10,Princess Magnetic Travel Art Set Lap Desks,Toys,lead|magnet,2,ACT NOW
08-020,2007-10-10,Bendable Dinosaur Toys,Toys,lead,3,ACT NOW
08-019,2007-10-10,"Collectible ""Jeff Gordon"" Mini Helmets",Helmets & wheeled toys,lead,4,ACT SOON
08-018,2007-10-08,Cub Scouts Totem Badges,,lead,4,ACT SOON
08-017,2007-10-08,Starbucks Children's Plastic Cups,Feeding & high chairs,choking|laceration,3,ACT NOW
08-013,2007-10-04,Razor® E300 Electric Scooters,Helmets & wheeled toys,fall,3,ACT NOW
08-011,2007-10-03,Alpine Design Aluminum Water Bottles,Feeding & high chairs,lead,3,ACT NOW
08-010,2007-10-03,Bookmarks and Journals,Jewelry & accessories,lead,3,ACT NOW
08-009,2007-10-03,Key Chains,Toys,chemical|lead,3,ACT NOW
08-008,2007-10-03,Totally Me! - Funky Room Décor Sets,Toys,lead,3,ACT NOW
08-007,2007-10-03,Frankenstein Tumblers,Feeding & high chairs,lead,3,ACT NOW
08-006,2007-10-03,"""Pirates of the Caribbean"" Medallion Squeeze Lights",Toys,lead,3,ACT NOW
08-005,2007-10-03,Baby Einstein Discover & Play Color Blocks,,lead,4,ACT SOON
08-004,2007-10-03,"Wooden Pull-Along Alphabet & Math Blocks Wagons, Wooden Pull-Along Learning Blocks Wagons, 10-in-1 Activity Learning Carts, and Flip-Flop Alphabet Blocks",Toys,lead,3,ACT NOW
08-002,2007-10-01,Plush Boys Rattles,Toys,,4,ACT SOON
07-317,2007-09-27,Mini Zooper Doll Strollers,Strollers & carriers,entrapment,1,ACT NOW
07-314,2007-09-25,TOBY & ME Jewelry Sets,Jewelry & accessories,chemical|lead,3,ACT NOW
07-313,2007-09-25,Children's Spinning Wheel-Metal Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-311,2007-09-25,Children's Toy Rake,Toys,lead,3,ACT NOW
07-310,2007-09-25,"Britain's ""Knights of the Sword"" Series Toys",Toys,lead,3,ACT NOW
07-309,2007-09-25,Happy Giddy Gardening Tools and Children's Sunny Patch Chairs,Toys,lead,3,ACT NOW
07-308,2007-09-25,Various Thomas and FriendsTM Wooden Railway Toys,Toys,lead,3,ACT NOW
07-312,2007-09-25,Floor Puppet Theaters,Toys,lead,3,ACT NOW
07-579,2007-09-24,Single Post Swing Sets,"Walkers, swings & bouncers",fall,3,ACT NOW
07-307,2007-09-20,Simplicity cribs,"Sleep — cribs, bassinets, loungers",entrapment|suffocation,1,ACT NOW
07-578,2007-09-17,Novara Afterburner Trailer Bicycles,Helmets & wheeled toys,fall,3,ACT NOW
07-315,2007-09-05,Kolcraft Play Yards,"Sleep — cribs, bassinets, loungers",entrapment|strangulation|suffocation,1,ACT NOW
07-574,2007-09-03,Jubee Bunk Beds,Nursery furniture & tip-over,fall,3,ACT NOW
07-303,2007-09-03,Big Big World 6-in-1 Bongo Band toys,Toys,lead,3,ACT NOW
07-302,2007-09-03,Geo Trax Locomotive Toys,Toys,lead,3,ACT NOW
07-301,2007-09-03,Various Barbie Accessory Toys,Toys,lead,3,ACT NOW
07-300,2007-09-03,"""Moderne"" and ""Loft"" Cribs","Sleep — cribs, bassinets, loungers",entrapment|strangulation,1,ACT NOW
07-573,2007-08-29,Zippity Hoodie and Sherpa Full Zip Children's Hooded Sweatshirts with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
07-299,2007-08-29,Imaginarium Wooden Coloring Cases,Toys,lead,3,ACT NOW
07-572,2007-08-28,Ceramic Oil Torch Lamps,Lighters & fire hazards,burn|fire,3,ACT NOW
07-294,2007-08-28,Toddler and Youth Nylon Bucket Hats,Bath & water safety,entanglement|strangulation,1,ACT NOW
07-290,2007-08-27,Robbie DuckyTM Kids Watering Cans,Toys,chemical|lead,3,ACT NOW
07-286,2007-08-22,Sleepi Crib Foam Mattresses,"Sleep — cribs, bassinets, loungers",entrapment,1,ACT NOW
07-284,2007-08-22,Basic Editions-brand Girls' Clothing Sets,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
07-283,2007-08-21,SpongeBob SquarePantsTM Address Books and Journals,Sleepwear & apparel,chemical|lead,4,ACT SOON
07-282,2007-08-21,Spinning Tops and Tin Pails,Bath & water safety,chemical|lead,4,ACT SOON
07-281,2007-08-21,Children's Divine Inspiration Charm Bracelets,Jewelry & accessories,chemical|lead,3,ACT NOW
07-280,2007-08-21,TOBY & ME Jewelry Sets,Jewelry & accessories,chemical|lead,3,ACT NOW
07-273,2007-08-13,Various Polly Pocket dolls and accessories with magnets,Outdoor & play equipment,choking|magnet,2,ACT NOW
07-272,2007-08-13,Doggie Day CareTM play sets,Outdoor & play equipment,choking|fall|magnet,2,ACT NOW
07-271,2007-08-13,Barbie and TannerTM play sets,Outdoor & play equipment,choking|magnet,2,ACT NOW
07-270,2007-08-13,"""Sarge"" die cast toy cars",Toys,chemical|lead,3,ACT NOW
07-269,2007-08-13,BatmanTM and One PieceTM magnetic action figure sets,Toys,choking|fall|magnet,2,ACT NOW
07-262,2007-08-02,Basic Blindz® Window Blinds,Window coverings & cords,strangulation,1,ACT NOW
07-261,2007-08-02,Stuffed Plush Horse/Pillows and Fairy Dolls,"Sleep — cribs, bassinets, loungers",choking,3,ACT NOW
07-254,2007-07-25,Pacifiers decorated with Swarovski crystals,Feeding & high chairs,choking,3,ACT NOW
07-251,2007-07-24,TV Stands,Nursery furniture & tip-over,fall,3,ACT NOW
07-252,2007-07-23,Matelassé Crib Bumpers,"Sleep — cribs, bassinets, loungers",entanglement,4,ACT SOON
07-246,2007-07-18,"Playskool Toddler ""NoSpill"" Sippy Cups",Feeding & high chairs,choking,3,ACT NOW
07-245,2007-07-18,Easy-Bake Ovens,Toys,burn|entrapment,1,ACT NOW
07-239,2007-07-17,Soldier Bear Brand Toy Sets,Toys,chemical|lead,3,ACT NOW
07-241,2007-07-16,Sleeping Beauty Crown and Cinderella Star Earring Sets,Jewelry & accessories,chemical|lead,3,ACT NOW
07-236,2007-07-16,Toddler Clog Shoes,Sleepwear & apparel,choking,3,ACT NOW
07-232,2007-07-04,Essentials for Kids Jewelry Sets,Jewelry & accessories,chemical|lead,3,ACT NOW
07-231,2007-07-04,Mag Stix Magnetic Building Sets,Toys,choking|fall|magnet,2,ACT NOW
07-230,2007-07-02,Shape Sorting Toy Castles,Toys,choking,3,ACT NOW
07-226,2007-06-27,Play Wonder Toy Barbeque Grills,Toys,laceration,3,ACT NOW
07-218,2007-06-18,Butterfly Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-215,2007-06-13,Pine Peak Blues Children's Jackets,Sleepwear & apparel,choking,3,ACT NOW
07-214,2007-06-13,Calypso Sandals,Sleepwear & apparel,choking,3,ACT NOW
07-210,2007-06-11,"""Accessories"" Silver Stud Earring Sets",Jewelry & accessories,chemical|lead,3,ACT NOW
07-557,2007-06-06,Red Baby Long Johns,,choking,3,ACT NOW
07-556,2007-06-06,Floating Eyeballs,Toys,,4,ACT SOON
07-208,2007-06-06,Children's Party Hats,Sleepwear & apparel,choking,3,ACT NOW
07-205,2007-06-05,Nursery-in-a-Box Cribs,"Sleep — cribs, bassinets, loungers",choking|entrapment|fall,1,ACT NOW
07-202,2007-05-30,Children's Metal Jewelry,Jewelry & accessories,chemical|lead,3,ACT NOW
07-199,2007-05-30,Sleigh Round Cribs,"Sleep — cribs, bassinets, loungers",fall,3,ACT NOW
07-197,2007-05-29,Rainforest Open Top Take-AlongTM Swings,"Walkers, swings & bouncers",entrapment,1,ACT NOW
07-196,2007-05-29,Eli's Small Drums and Liberty's Large Drums,Toys,chemical|lead,3,ACT NOW
07-193,2007-05-22,Invincibles Transport Converters Toy Sets,Toys,chemical|lead,3,ACT NOW
07-192,2007-05-22,"Ball Rattles, Wrist Rattles, Wind-Up Toys",Toys,choking,3,ACT NOW
07-551,2007-05-16,Discovery Bunny Books,Toys,choking,3,ACT NOW
07-550,2007-05-16,Baby Buddy Clip-on Books,Strollers & carriers,choking,3,ACT NOW
07-187,2007-05-16,Little Girls Capri Pants with Snap Roll Cuff,,choking,3,ACT NOW
07-549,2007-05-15,Budding Gardener Complete Gardening Set,Sleepwear & apparel,chemical|lead,4,ACT SOON
07-548,2007-05-15,Three Piece Short Sets,Sleepwear & apparel,choking,3,ACT NOW
07-189,2007-05-14,Children's Turquoise Rings,Jewelry & accessories,chemical|lead,3,ACT NOW
07-188,2007-05-14,"Children's Necklaces, Bracelets and Rings",Jewelry & accessories,chemical|lead,3,ACT NOW
07-186,2007-05-09,Evenflo EmbraceTM Infant Car Seat/Carriers,Car seats & travel,fall,3,ACT NOW
07-184,2007-05-08,Rooster Kitchen Stools,Jewelry & accessories,fall,3,ACT NOW
07-179,2007-05-02,IQ PreschoolTM Take-Apart Townhouse,Toys,choking|fall|magnet,2,ACT NOW
07-178,2007-05-02,Parents® Magazine Record-A-Voice Toy Cell Phones,Toys,choking|fall,3,ACT NOW
07-176,2007-05-01,Soft Blocks Tower Toys (on Graco® Baby Einstein® discover and playTM Activity Centers),"Walkers, swings & bouncers",choking,3,ACT NOW
07-174,2007-05-01,Children's Rings with Dice or Horseshoes,Sleepwear & apparel,chemical|lead,4,ACT SOON
07-173,2007-05-01,Anima - Bamboo Collection Games,Toys,chemical|lead,3,ACT NOW
07-172,2007-05-01,Children's Religious Fish Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-171,2007-05-01,Children's Airwalk® Compel Shoes,Sleepwear & apparel,choking,3,ACT NOW
07-165,2007-04-23,Coby-Brand USB/MP3/CD Boomboxes,,fire|overheat,3,ACT NOW
07-164,2007-04-18,Magnetix Magnetic Building Sets,Toys,magnet,2,ACT NOW
07-162,2007-04-17,Infant Bouncer Seats,"Walkers, swings & bouncers",fall,3,ACT NOW
07-158,2007-04-16,Life is good® Children's Sweatshirts,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
07-157,2007-04-16,"Children's Charm Bracelets and ""Sportswear"" Necklaces",Jewelry & accessories,chemical|lead,3,ACT NOW
07-156,2007-04-16,Baby Einstein Caterpillar Sleepwear and Baby Einstein Duck Sleepwear,Sleepwear & apparel,burn|flammable,3,ACT NOW
07-154,2007-04-10,"""Sounds on the Farm"" Puzzle and ""Sounds on the Go"" Puzzle",Toys,choking,3,ACT NOW
07-152,2007-04-04,Disney Princesses Easter Baskets,Toys,choking,3,ACT NOW
07-148,2007-04-03,Little Tree Wood Activity Cart Toys,Toys,choking,3,ACT NOW
07-146,2007-04-03,"""Lovely Baby"" and ""Happy Baby"" dolls",Toys,choking,3,ACT NOW
07-145,2007-04-02,Metal Key Chains,Toys,chemical|lead,3,ACT NOW
07-144,2007-04-02,"Children's ""Groovy Grabber"" Bracelets",Jewelry & accessories,chemical|lead,3,ACT NOW
07-141,2007-03-27,Stuffed Fun Balls,Toys,chemical|lead,3,ACT NOW
07-138,2007-03-26,Baby Trend Back Pack Carriers,Sleepwear & apparel,fall,3,ACT NOW
07-137,2007-03-21,SlingRider Infant Carriers,Car seats & travel,fall,3,ACT NOW
07-536,2007-03-18,Hanna Andersson Children's Crossover Tee and Lounge Pant Sets and Cropped Johns,Sleepwear & apparel,flammable,3,ACT NOW
07-129,2007-03-14,Children's Mood Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-128,2007-03-14,Children's Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-127,2007-03-12,"""Elite Operations"" Toy Sets",Toys,chemical|laceration|lead,3,ACT NOW
07-126,2007-03-12,Children's Stationery Sets,,laceration,3,ACT NOW
07-125,2007-03-12,Children's Mood Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-533,2007-03-07,N-Kids Brand Girl's Drawstring Flannel Pants and Pine Peak Blues Brand Boy's Drawstring,Sleepwear & apparel,burn|entanglement|flammable,3,ACT NOW
07-123,2007-03-07,Cobmex Youth Jackets with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
07-121,2007-03-07,Boy's Jackets with an attached compass,Sleepwear & apparel,choking,3,ACT NOW
07-531,2007-03-06,Elite 5-in-1 Easels,,chemical|lead,4,ACT SOON
07-115,2007-02-26,Bounce Houses,Outdoor & play equipment,,4,ACT SOON
07-114,2007-02-22,"""Claudia Jublot"" Children's Rings",Jewelry & accessories,chemical|lead,3,ACT NOW
07-113,2007-02-22,"Children's ""Kidsite"" Necklace and Earring Sets",Jewelry & accessories,chemical|lead,3,ACT NOW
07-106,2007-02-14,Link-N-LiteTM Magnetic Light-Up Puzzles,Toys,choking|fall|magnet,2,ACT NOW
07-105,2007-02-14,"""Laugh and Learn"" Learning Bunny Toys",Toys,choking,3,ACT NOW
07-103,2007-02-12,Children's Hooded Sweatshirts and Windbreakers with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
07-102,2007-02-12,Heavyweight Outerwear Jackets,Sleepwear & apparel,chemical|lead,4,ACT SOON
07-101,2007-02-12,Battery Packs for Toy Vehicles,Toys,fire,3,ACT NOW
07-100,2007-02-07,Toddler Pants Sets,Sleepwear & apparel,choking,3,ACT NOW
07-527,2007-02-06,Faux-Shearling Infant Booties,Sleepwear & apparel,choking,3,ACT NOW
07-099,2007-02-06,"Children's ""Ultra Gear"" Bracelets",Jewelry & accessories,chemical|lead,3,ACT NOW
07-098,2007-02-06,"Children's ""Rachael Rose Kidz"" Rings",Jewelry & accessories,chemical|lead,3,ACT NOW
07-096,2007-02-05,Easy-Bake Ovens,,burn|entrapment,1,ACT NOW
07-088,2007-01-24,Home Decorators Collection Leather Suitcase Trunks,Sleepwear & apparel,entrapment|suffocation,1,ACT NOW
07-087,2007-01-23,Travel'N Baby Mini Hair Dryers,,electrical|fall,3,ACT NOW
07-085,2007-01-17,MagneBlocksTM Magnetic Construction Toys,Toys,choking|fall|magnet,2,ACT NOW
07-084,2007-01-17,Graco® ContempoTM Highchairs,Feeding & high chairs,fall,3,ACT NOW
07-083,2007-01-17,Plush Baby Rattles and Photo Frame Ornaments,Toys,choking,3,ACT NOW
07-082,2007-01-17,Children's Butterfly Necklaces,Toys,chemical|lead,3,ACT NOW
07-081,2007-01-16,Bright Starts Star Teether Beads and Bright Starts Teether Beads,Feeding & high chairs,choking,3,ACT NOW
07-078,2007-01-10,Inflator Air Pumps,Jewelry & accessories,laceration|overheat,3,ACT NOW
07-077,2007-01-09,Children's Hooded Sweatshirts with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
07-516,2007-01-04,Starting Out Shirt and Overalls,Sleepwear & apparel,chemical|lead,4,ACT SOON
07-069,2006-12-26,Phil & Teds e3 Strollers with doubles seats,Strollers & carriers,,4,ACT SOON
07-066,2006-12-20,BABYBJÖRN® Feeding Spoons,Feeding & high chairs,choking,3,ACT NOW
07-513,2006-12-18,Gigantic Gemstone Ring,Jewelry & accessories,chemical|lead,3,ACT NOW
07-064,2006-12-18,Holiday TimeTM Christmas Mug Gift Sets,Toys,choking,3,ACT NOW
07-512,2006-12-17,Remote-Control Dragonfly King HX-242 Helicopter (also known as the Micro R/C Helicopter),Toys,burn|fire|overheat,3,ACT NOW
07-058,2006-12-13,Holiday TimeTM Stuffed Christmas Beagles,,choking,3,ACT NOW
07-057,2006-12-13,Baby greendog® girl's knit coveralls,Sleepwear & apparel,choking,3,ACT NOW
07-054,2006-12-12,Children's Powerpuff Girls necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-053,2006-12-12,Gemco® Lemonade Jars,Outdoor & play equipment,lead,4,ACT SOON
07-052,2006-12-12,BRIO Bell Rattles,Toys,choking,3,ACT NOW
07-051,2006-12-12,Children's Butterfly Necklaces,Toys,chemical|lead,3,ACT NOW
07-050,2006-12-12,"""Ellis"" Children's Boots",Sleepwear & apparel,choking,3,ACT NOW
07-043,2006-12-04,Antique White Furniture from the Cottage Collection,Nursery furniture & tip-over,chemical|lead,4,ACT SOON
07-042,2006-12-03,Children's Mood Necklaces and Diva Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
07-510,2006-11-29,"Children's parka jackets, with drawstrings",Toys,entanglement|strangulation,1,ACT NOW
07-039,2006-11-20,Polly Pocket dolls and accessories with magnets,Outdoor & play equipment,choking|fall|magnet,2,ACT NOW
07-035,2006-11-14,"Various ""Kool Toyz"" Children's Products",Toys,chemical|laceration|lead,3,ACT NOW
07-034,2006-11-14,"""Play Wonder"" Puzzle Tables",Toys,choking|laceration,3,ACT NOW
07-033,2006-11-14,Decorative Snaps and Metal Clips,Toys,chemical|lead,3,ACT NOW
07-031,2006-11-08,Helix Remote Control Micro Helicopter,Toys,burn|overheat,3,ACT NOW
07-030,2006-11-08,Baby Gund WoodlesTM Activity Toys,Toys,choking,3,ACT NOW
07-029,2006-11-08,"""Cars"" Toy Storage Benches",Toys,chemical|lead,3,ACT NOW
07-024,2006-11-01,Flashing Pacifiers,Feeding & high chairs,choking|strangulation,1,ACT NOW
07-023,2006-11-01,Toy Keys,Toys,choking,3,ACT NOW
07-015,2006-10-24,Minnie Mouse Cardigan Set,,strangulation,1,ACT NOW
07-013,2006-10-23,"Mr. Potato Head ""Make a Monster Pumpkin"" and Mr. Potato Head ""Make a Fireman Pumpkin"" and Mrs. Potato Head ""Make a Diva Pumpkin""",Sleepwear & apparel,choking,3,ACT NOW
07-009,2006-10-17,Baby Cookie Monster Plush Toys,Toys,choking,3,ACT NOW
07-502,2006-10-11,CaribooTM Folding Changing Tables and CaribooTM Bassinet Changers,"Sleep — cribs, bassinets, loungers",fall,3,ACT NOW
06-267,2006-09-26,Suave Kids Bath Set,Sleepwear & apparel,choking|strangulation|suffocation,1,ACT NOW
06-266,2006-09-21,Team Talkin' Tool Bench,Toys,suffocation,1,ACT NOW
06-264,2006-09-19,Youth Hooded Sweatshirts,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-263,2006-09-19,"""Candie's"" Brand Children's Hoodie Sweatshirts with Drawstrings",Feeding & high chairs,entanglement|strangulation,1,ACT NOW
06-262,2006-09-19,LEGO EXPLORE Super Trucks,Toys,laceration,3,ACT NOW
06-261,2006-09-18,"""phil & teds"" T2 Travel Cots",,choking,3,ACT NOW
06-260,2006-09-18,"""Que Cute"" Children's Bathrobes",Sleepwear & apparel,burn|flammable,3,ACT NOW
06-578,2006-09-13,True Religion Brand Fleece Hoodies,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-255,2006-09-11,Ming TV Stands,Nursery furniture & tip-over,,4,ACT SOON
06-253,2006-09-06,Learn-AroundTM Playground Activity Center,"Walkers, swings & bouncers",,4,ACT SOON
06-251,2006-09-06,9-Foot Patio Umbrellas,,lead,4,ACT SOON
06-248,2006-08-29,Jet StreamersTM Water Blasters Pool Toys,Outdoor & play equipment,,4,ACT SOON
06-241,2006-08-21,Air Hogs RC Skywinder Radio-Controlled Airplane,Toys,burn|overheat,3,ACT NOW
06-240,2006-08-21,"""Ideal"" and ""Brighter Child"" Brand Science Kits",Toys,burn|overheat,3,ACT NOW
06-576,2006-08-16,Cool Blue Backpacks,Button cells & batteries,burn|overheat,3,ACT NOW
06-574,2006-08-16,Cage Bell Musical Instrument for Babies,Toys,choking,3,ACT NOW
06-238,2006-08-16,Firestreet Scooters,Helmets & wheeled toys,fall,3,ACT NOW
06-236,2006-08-16,Bendable Dog and Cat Toys,Toys,chemical|lead,3,ACT NOW
06-234,2006-08-15,Speed Buckle Harnesses,Outdoor & play equipment,fall,3,ACT NOW
06-226,2006-08-09,ALEX® Super Cooking Sets,,laceration,3,ACT NOW
06-228,2006-08-08,Quiksilver and Roxy Girl lounge pants,Sleepwear & apparel,burn|fire|flammable,3,ACT NOW
06-223,2006-08-01,Hide & Seek Hooded Sweatshirts,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-221,2006-07-24,Hampton Bay® Transitional Collection Fire Truck and Bulldozer Accent Lamp with Night Lights,Nursery electricals & monitors,fall|fire|laceration,3,ACT NOW
06-565,2006-07-18,Homeroom Bedroom Collection,Nursery furniture & tip-over,choking,3,ACT NOW
06-563,2006-07-04,Paloma Rattles,Toys,choking|laceration,3,ACT NOW
06-199,2006-06-28,Toy Guitars,Toys,choking,3,ACT NOW
06-193,2006-06-21,Reebok Children's Windsuit,Sleepwear & apparel,choking,3,ACT NOW
06-190,2006-06-14,Sam & Libby Girl's Thong Sandals,Sleepwear & apparel,laceration,3,ACT NOW
06-189,2006-06-14,Curious Buddies Children's Books,Nursery furniture & tip-over,choking,3,ACT NOW
06-186,2006-06-12,H&M Girl's Water Shoes,Sleepwear & apparel,fall,3,ACT NOW
06-182,2006-06-07,Light-Up Yo-Yo Toy,Toys,choking,3,ACT NOW
06-166,2006-05-17,Sling Swing Seats,"Walkers, swings & bouncers",fall,3,ACT NOW
06-165,2006-05-16,Simple Set Pool Ladders,Outdoor & play equipment,,4,ACT SOON
06-163,2006-05-10,Adventure Playsets Wooden Swing Sets,"Walkers, swings & bouncers",fall,3,ACT NOW
06-160,2006-05-09,Juicy Couture Children's Jewelry,Jewelry & accessories,chemical|lead,3,ACT NOW
06-159,2006-05-08,Schwinn Deluxe Bicycle Child Carriers,Strollers & carriers,fall,3,ACT NOW
06-156,2006-05-04,Metal Charms (enclosed with certain DVDs),Jewelry & accessories,chemical|lead,3,ACT NOW
06-152,2006-05-01,Cordless Push Button Toy Telephones,Toys,choking,3,ACT NOW
06-150,2006-04-26,Children's Necklaces,Jewelry & accessories,chemical|lead,3,ACT NOW
06-148,2006-04-24,"Mountain Buggy Urban Single and Urban Double, Breeze Strollers",Strollers & carriers,,4,ACT SOON
06-138,2006-04-12,"""Who's That Girl!"" Sweaters",Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-127,2006-03-30,All Magnetix Magnetic Building Sets,Toys,choking|fall|magnet,2,ACT NOW
06-123,2006-03-29,American Girl Children's Jewelry,Jewelry & accessories,chemical|lead,3,ACT NOW
06-539,2006-03-28,Thunder Spin R.C. Road Rage Stunt Machine Toy Trucks,Toys,fire|overheat,3,ACT NOW
06-121,2006-03-27,Child Guidance Toy Pliers,Toys,choking,3,ACT NOW
06-538,2006-03-22,Beaded Photo Charm Bracelets,Jewelry & accessories,chemical|lead,3,ACT NOW
06-119,2006-03-22,Reebok Heart-Shaped Charm Bracelets,Jewelry & accessories,chemical|lead,3,ACT NOW
06-118,2006-03-22,"Dollar Tree Mood Necklace and Ring, Glow-in-the Dark Necklace and Ring, and UV Necklace and Ring",Toys,chemical|lead,3,ACT NOW
06-116,2006-03-15,Walgreens High Potency Iron Supplement,Personal care & medicine,chemical|subpotent,4,ACT SOON
06-535,2006-03-14,"""Max Play"" Single Post and ""Kid Builders Arch"" Swing Sets","Walkers, swings & bouncers",fall,3,ACT NOW
06-113,2006-03-14,"""U.S. Polo Association"" Youth Hooded Sweatshirts with Drawstring",Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-108,2006-03-07,BRIO's Pull-along Snails,Toys,choking,3,ACT NOW
06-103,2006-03-01,"""Girl Favors"" Children's Toy Jewelry",Toys,choking,3,ACT NOW
06-532,2006-02-28,Safe-Seat Plus Model Infant Seats for Shopping Carts,"Walkers, swings & bouncers",,4,ACT SOON
06-100,2006-02-28,Glowin' Dino and Glowin' Doggy Animal Flashlights,,chemical|lead,4,ACT SOON
06-099,2006-02-27,iPlay My First Mobile Phones,Toys,choking,3,ACT NOW
06-531,2006-02-23,Pro Flying Saucer (Radio Control),Toys,fire|overheat,3,ACT NOW
06-097,2006-02-23,Youth Hooded Fleece with Drawstring,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-096,2006-02-22,Chicken Limbo Electronic Party Game,Toys,fall,3,ACT NOW
06-093,2006-02-22,Art AccentzTM ChanglzTM Metal Charms,Jewelry & accessories,chemical|lead,3,ACT NOW
06-088,2006-02-14,Children's Hooded Sweatshirts with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
06-086,2006-02-07,Aspen 3 in 1 Cribs with Graco logos,"Sleep — cribs, bassinets, loungers",entrapment|fall|suffocation,1,ACT NOW
06-079,2006-01-31,Baby Walkers,"Walkers, swings & bouncers",,4,ACT SOON
06-078,2006-01-31,Baby Walkers,"Walkers, swings & bouncers",,4,ACT SOON
06-077,2006-01-31,Baby Walkers,"Walkers, swings & bouncers",,4,ACT SOON
06-076,2006-01-25,Children's Upper Outerwear with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
