rn,Date,name,category,hazards,tier,band
26-433,2026-04-23,AMZCMJ DGD Children's Tower Stools,Nursery furniture & tip-over,entrapment|fall|tipover,1,ACT NOW
26-432,2026-04-23,TOETOL Tower Stools,Nursery furniture & tip-over,entrapment|fall|tipover,1,ACT NOW
26-430,2026-04-23,Wiifo Children's Tower Stools,Nursery furniture & tip-over,entrapment|fall|tipover,1,ACT NOW
26-429,2026-04-23,mGanna Sodium Hydroxide (lye) Pellet Bags,Household chemicals,burn|chemical|labeling,3,ACT NOW
26-428,2026-04-16,Lil' Buddies Pet Laser Toy,Toys,battery|burn,2,ACT NOW
26-427,2026-04-16,SpringFlower 5-in-1 Montessori Toy Set,Toys,choking,3,ACT NOW
26-425,2026-04-16,ZOLIQUEX Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-424,2026-04-16,LED Finger Beam Lights,Toys,battery|burn,2,ACT NOW
26-414,2026-04-16,"SEGMART 55"" Indoor/Outdoor Mini Round Toddler Trampolines with Enclosure Nets and Accessory Kits",Outdoor & play equipment,entanglement|strangulation,1,ACT NOW
26-413,2026-04-16,Multi-Point Swing Frames,"Walkers, swings & bouncers",fall,3,ACT NOW
26-411,2026-04-16,ATOYUS Children's Activity Cubes,Toys,choking,3,ACT NOW
26-408,2026-04-16,Sanlebi Pet Vet Playsets,Outdoor & play equipment,battery,2,ACT NOW
26-405,2026-04-09,Muscccm Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-403,2026-04-09,Happiness Light LED Lights,Button cells & batteries,battery|burn,2,ACT NOW
26-398,2026-04-09,ShymeryDirect LED Lights,Button cells & batteries,battery|burn,2,ACT NOW
26-397,2026-04-09,Yeeluzan Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-396,2026-04-09,Besslly Halloween Pumpkin Carving Kits,Button cells & batteries,battery|burn,2,ACT NOW
26-392,2026-04-09,Maitys Drinkware Charms,Toys,chemical|magnet,2,ACT NOW
